published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-05-20,207.0,211.0,204.0,210.04,2.11,90424.0,18803877.2,0
2025-05-21,214.2,222.0,210.0,211.01,0.46,188458.0,40264545.1,0
2025-05-22,211.0,224.4,209.1,221.84,5.13,531030.0,116269371.0,0
2025-05-23,211.0,224.4,209.1,221.84,5.13,531030.0,116269371.0,0
2025-05-24,211.0,224.4,209.1,221.84,5.13,531030.0,116269371.0,0
2025-05-25,222.5,223.0,215.0,216.44,-2.43,262265.0,56928760.2,0
2025-05-26,220.7,229.0,215.9,216.7,0.12,216810.0,47709592.6,0
2025-05-27,216.0,219.0,212.4,217.17,0.22,113562.0,24559628.2,0
2025-05-28,221.5,223.3,214.0,222.41,2.41,224249.0,49430019.1,0
2025-05-29,221.5,223.3,214.0,222.41,2.41,224249.0,49430019.1,0
2025-05-30,221.5,223.3,214.0,222.41,2.41,224249.0,49430019.1,0
2025-05-31,221.5,223.3,214.0,222.41,2.41,224249.0,49430019.1,0
2025-06-01,221.5,223.3,214.0,222.41,2.41,224249.0,49430019.1,0
2025-06-02,226.8,228.0,218.1,218.79,-1.63,204636.0,45433416.7,0
2025-06-03,219.0,221.0,213.2,213.72,-2.32,143122.0,30892653.5,0
2025-06-04,214.0,216.8,210.7,212.79,-0.44,75927.0,16148590.5,0
2025-06-05,212.0,214.5,210.0,211.76,-0.48,96617.0,20470200.4,0
2025-06-06,212.0,214.5,210.0,211.76,-0.48,96617.0,20470200.4,0
2025-06-07,212.0,214.5,210.0,211.76,-0.48,96617.0,20470200.4,0
2025-06-08,208.0,213.0,208.0,210.85,-0.43,80069.0,16865793.6,0
2025-06-09,213.0,213.0,209.0,210.26,-0.28,69888.0,14719883.0,0
2025-06-10,211.0,214.0,210.0,211.97,0.81,97064.0,20506050.7,0
2025-06-11,212.1,214.0,210.0,211.15,-0.39,80893.0,17098895.1,0
2025-06-12,211.1,212.0,209.0,209.46,-0.8,97029.0,20345368.2,0
2025-06-13,211.1,212.0,209.0,209.46,-0.8,97029.0,20345368.2,0
2025-06-14,211.1,212.0,209.0,209.46,-0.8,97029.0,20345368.2,0
2025-06-15,205.3,213.0,205.3,209.22,-0.11,76015.0,15947546.3,0
2025-06-16,210.0,212.0,208.4,210.37,0.55,102091.0,21507813.2,0
2025-06-17,213.0,213.0,209.6,209.85,-0.25,45438.0,9549984.2,0
2025-06-18,209.0,210.3,208.5,208.89,-0.46,73998.0,15484586.7,0
2025-06-19,210.0,211.0,207.0,207.47,-0.68,86450.0,18025372.7,0
2025-06-20,210.0,211.0,207.0,207.47,-0.68,86450.0,18025372.7,0
2025-06-21,210.0,211.0,207.0,207.47,-0.68,86450.0,18025372.7,0
2025-06-22,206.2,208.0,204.0,204.86,-1.26,168623.0,34593315.3,0
2025-06-23,208.9,208.9,204.0,206.26,0.68,92568.0,19021355.2,0
2025-06-24,208.0,210.7,205.8,207.41,0.56,98078.0,20435631.2,0
