Date,Cash,Total_Portfolio_Value
2024-03-05,1770.5500000000538,464602.05000000005
2024-03-06,1770.5500000000538,464551.05000000005
2024-03-07,1770.5500000000538,464963.55000000005
2024-03-08,1770.5500000000538,464963.55000000005
2024-03-09,1770.5500000000538,464963.55000000005
2024-03-10,1770.5500000000538,465280.05000000005
2024-03-11,1770.5500000000538,465280.05000000005
2024-03-12,1770.5500000000538,466390.05000000005
2024-03-13,1770.5500000000538,466297.05000000005
2024-03-14,1770.5500000000538,465706.05000000005
2024-03-15,1770.5500000000538,465706.05000000005
2024-03-16,1770.5500000000538,465706.05000000005
2024-03-17,1770.5500000000538,465439.05000000005
2024-03-18,1770.5500000000538,465415.05000000005
2024-03-19,1770.5500000000538,465440.55000000005
2024-03-20,1770.5500000000538,465331.05000000005
2024-03-21,1770.5500000000538,465073.05000000005
2024-03-22,1770.5500000000538,465073.05000000005
2024-03-23,1770.5500000000538,465073.05000000005
2024-03-24,1770.5500000000538,465073.05000000005
2024-03-25,1770.5500000000538,464581.05000000005
2024-03-26,1770.5500000000538,464768.55000000005
2024-03-27,1770.5500000000538,464272.05000000005
2024-03-28,1770.5500000000538,464351.55000000005
2024-03-29,1770.5500000000538,464351.55000000005
2024-03-30,1770.5500000000538,464351.55000000005
2024-03-31,1770.5500000000538,464206.05000000005
2024-04-01,1770.5500000000538,464011.05000000005
2024-04-02,1770.5500000000538,463816.05000000005
2024-04-03,1770.5500000000538,463730.55000000005
2024-04-04,1770.5500000000538,463522.05000000005
2024-04-05,1770.5500000000538,463522.05000000005
2024-04-06,1770.5500000000538,463522.05000000005
2024-04-07,1935.5500000000538,464059.05000000005
2024-04-08,1935.5500000000538,464224.05000000005
2024-04-09,419.05000000005384,466075.05000000005
2024-04-10,419.05000000005384,464348.55000000005
2024-04-11,419.05000000005384,464348.55000000005
2024-04-12,419.05000000005384,464348.55000000005
2024-04-13,419.05000000005384,464348.55000000005
2024-04-14,419.05000000005384,464302.05000000005
2024-04-15,419.05000000005384,463867.05000000005
2024-04-16,419.05000000005384,463645.05000000005
2024-04-17,419.05000000005384,463645.05000000005
2024-04-18,984.5500000000538,462944.55000000005
2024-04-19,984.5500000000538,463510.05000000005
2024-04-20,984.5500000000538,463510.05000000005
2024-04-21,1149.5500000000538,463931.55000000005
2024-04-22,1149.5500000000538,463985.55000000005
2024-04-23,1149.5500000000538,463985.55000000005
2024-04-24,609.5500000000538,464317.05000000005
2024-04-25,609.5500000000538,463337.55000000005
2024-04-26,609.5500000000538,463337.55000000005
2024-04-27,609.5500000000538,463337.55000000005
2024-04-28,609.5500000000538,463565.55000000005
2024-04-29,609.5500000000538,463639.05000000005
2024-04-30,609.5500000000538,464339.55000000005
2024-05-01,609.5500000000538,464339.55000000005
2024-05-02,609.5500000000538,463978.05000000005
2024-05-03,609.5500000000538,463978.05000000005
2024-05-04,609.5500000000538,463978.05000000005
2024-05-05,609.5500000000538,463342.05000000005
2024-05-06,609.5500000000538,463193.55000000005
2024-05-07,609.5500000000538,463103.55000000005
2024-05-08,2109.550000000054,461396.55000000005
2024-05-09,2109.550000000054,462868.05000000005
2024-05-10,2109.550000000054,462868.05000000005
