SUMMARY
Metric,Value
Initial Investment,200000.00
Final Value,589364.92
Total Profit,389364.92
Return %,194.68%
Target Reached,Yes

TRADE HISTORY
Date,Stock,Action,Qty,Price,Total_Amount,Profit_Loss,Reason
2021-12-02,ICFC,SELL,151,816.0,123216.0,-11174.0,Trailing Stop (7% drop)
2021-12-28,NBB,BUY,358,369.0,-132102.0,0.0,Trend Entry
2021-12-29,ADBL,BUY,275,492.0,-135300.0,0.0,Trend Entry
2022-01-02,ADBL,SELL,275,411.0,113025.0,-22275.0,Trailing Stop (7% drop)
2022-01-03,RLI,BUY,244,529.0,-129076.0,0.0,Trend Entry
2022-01-04,AHPC,BUY,292,445.0,-129940.0,0.0,Trend Entry
2022-01-05,EBL,BUY,194,597.0,-115818.0,0.0,Trend Entry
2022-01-17,AHPC,SELL,292,571.3,166819.59999999998,36879.59999999998,Take Profit (25% gain)
2022-01-17,PCBL,BUY,285,375.8,-107103.0,0.0,Trend Entry
2022-01-18,SANIMA,BUY,151,396.0,-59796.0,0.0,Trend Entry
2022-01-24,EBL,SELL,194,582.0,112908.0,-2910.0,Trailing Stop (7% drop)
2022-01-24,SANIMA,SELL,151,367.0,55417.0,-4379.0,Trailing Stop (7% drop)
2022-01-24,LICN,BUY,43,2344.0,-100792.0,0.0,Trend Entry
2022-01-26,PCBL,SELL,285,352.0,100320.0,-6783.0,Trailing Stop (7% drop)
2022-01-30,KKHC,BUY,307,334.0,-102538.0,0.0,Trend Entry
2022-01-31,HURJA,BUY,126,520.0,-65520.0,0.0,Trend Entry
2022-02-07,LICN,SELL,43,2005.0,86215.0,-14577.0,Trailing Stop (7% drop)
2022-02-07,DHPL,BUY,271,318.0,-86178.0,0.0,Trend Entry
2022-02-13,KKHC,SELL,307,308.0,94556.0,-7982.0,Trailing Stop (7% drop)
2022-02-13,HURJA,SELL,126,487.0,61362.0,-4158.0,Trailing Stop (7% drop)
2022-02-14,NHPC,BUY,217,431.7,-93678.9,0.0,Trend Entry
2022-02-15,AHPC,BUY,108,573.0,-61884.0,0.0,Trend Entry
2022-02-24,AHPC,SELL,108,532.0,57456.0,-4428.0,Trailing Stop (7% drop)
2022-02-27,NHPC,SELL,217,366.0,79422.0,-14256.899999999994,Trailing Stop (7% drop)
2022-02-28,DHPL,SELL,271,321.0,86991.0,813.0,Trailing Stop (7% drop)
2022-03-06,RLI,SELL,244,539.0,131516.0,2440.0,Trailing Stop (7% drop)
2022-03-23,JBBL,BUY,210,422.0,-88620.0,0.0,Trend Entry
2022-03-24,LICN,BUY,42,2101.2,-88250.4,0.0,Trend Entry
2022-03-28,RLI,BUY,154,569.0,-87626.0,0.0,Trend Entry
2022-03-29,JBBL,SELL,210,389.0,81690.0,-6930.0,Trailing Stop (7% drop)
2022-04-05,LICN,SELL,42,1951.0,81942.0,-6308.399999999994,Trailing Stop (7% drop)
2022-04-05,RLI,SELL,154,535.0,82390.0,-5236.0,Trailing Stop (7% drop)
2022-04-27,NICA,BUY,107,781.8,-83652.59999999999,0.0,Trend Entry
2022-05-17,BARUN,BUY,179,468.0,-83772.0,0.0,Trend Entry
2022-05-20,NHPC,BUY,303,279.0,-84537.0,0.0,Trend Entry
2022-05-31,NHPC,SELL,303,259.0,78477.0,-6060.0,Trailing Stop (7% drop)
2022-06-02,NICA,SELL,107,744.5,79661.5,-3991.0999999999913,Trailing Stop (7% drop)
2022-06-02,MEGA,BUY,343,237.0,-81291.0,0.0,Trend Entry
2022-06-03,BARUN,SELL,179,445.0,79655.0,-4117.0,Trailing Stop (7% drop)
2022-06-08,BARUN,BUY,169,474.0,-80106.0,0.0,Trend Entry
2022-06-15,BARUN,SELL,169,435.9,73667.09999999999,-6438.900000000009,Trailing Stop (7% drop)
2022-07-01,LICN,BUY,40,1469.0,-58760.0,0.0,Trend Entry
2022-07-03,CIT,BUY,22,2664.0,-58608.0,0.0,Trend Entry
2022-07-04,BARUN,BUY,127,459.0,-58293.0,0.0,Trend Entry
2022-07-05,ICFC,BUY,132,437.2,-57710.4,0.0,Trend Entry
2022-07-11,LICN,SELL,40,1415.0,56600.0,-2160.0,Trailing Stop (7% drop)
2022-07-11,CIT,SELL,22,2429.0,53438.0,-5170.0,Trailing Stop (7% drop)
2022-07-11,BARUN,SELL,127,412.0,52324.0,-5969.0,Trailing Stop (7% drop)
2022-07-11,ICFC,SELL,132,413.0,54516.0,-3194.4000000000015,Trailing Stop (7% drop)
2022-07-13,JBBL,BUY,179,304.9,-54577.1,0.0,Trend Entry
2022-07-14,PROFL,BUY,224,243.0,-54432.0,0.0,Trend Entry
2022-07-15,KKHC,BUY,259,211.0,-54649.0,0.0,Trend Entry
2022-07-17,LBBL,BUY,160,338.1,-54096.0,0.0,Trend Entry
2022-07-28,PROFL,SELL,224,304.0,68096.0,13664.0,Take Profit (25% gain)
2022-07-28,NABIL,BUY,72,866.0,-62352.0,0.0,Trend Entry
